CATEGORY,START,STOP,MILES,DURATION in minutes
Business,Cary,Morrisville,6.0,18.0
Business,Morrisville,Cary,6.1,16.0
Business,Whitebridge,Wayne Ridge,8.2,24.0
Business,Wayne Ridge,Whitebridge,8.0,22.0
Business,Cary,Raleigh,13.6,39.0
Business,Raleigh,Cary,22.5,30.0
Business,Cary,Durham,10.4,20.0
Business,Durham,Cary,10.0,24.0
Business,Whitebridge,Tanglewood,6.0,13.0
Business,Tanglewood,Whitebridge,6.5,16.0
Business,Cary,Morrisville,3.1,9.0
Business,Chessington,Chessington,1.9,6.0
Business,Morrisville,Cary,4.2,9.0
Business,Whitebridge,Burtrose,4.9,10.0
Business,Burtrose,Whitebridge,4.8,12.0
Business,Cary,Raleigh,12.4,25.0
Business,Raleigh,Cary,32.8,19.0
Business,Morrisville,Cary,5.5,18.0
Business,Cary,Durham,9.9,17.0
Business,Durham,Cary,10.0,21.0
Business,Cary,Durham,14.2,32.0
Business,Durham,Cary,18.2,35.0
Business,Whitebridge,Waverly Place,7.7,15.0
Business,Waverly Place,Whitebridge,6.8,18.0
Business,Whitebridge,Westpark Place,2.1,8.0
Business,Westpark Place,Whitebridge,2.3,5.0
Business,Whitebridge,Tanglewood,6.2,12.0
Business,Tanglewood,Parkway,7.5,16.0
Business,Parkway,Whitebridge,3.1,11.0
Business,Whitebridge,Westpark Place,2.2,7.0
Business,Westpark Place,Whitebridge,3.9,11.0
Business,Morrisville,Cary,2.5,8.0
Business,Cary,Morrisville,8.7,21.0
Business,Mcvan,Capitol One,14.5,19.0
Business,Capitol One,University District,4.5,6.0
Business,University District,Capitol One,5.0,8.0
Business,Seattle,Redmond,14.2,12.0
Business,Redmond,Bellevue,2.9,6.0
Business,Bellevue,Seattle,12.9,-1427.0
Business,Capitol One,Mcvan,14.4,15.0
Business,Chapel Hill,Morrisville,17.0,14.0
Business,Morrisville,Cary,7.9,26.0
Business,Cary,Morrisville,8.4,17.0
Business,San Francisco,Palo Alto,20.5,27.0
Business,Palo Alto,Sunnyvale,9.8,28.0
Business,Sunnyvale,Newark,17.6,24.0
Business,Newark,Menlo Park,9.3,17.0
Business,Menlo Park,Newark,7.9,12.0
Business,Newark,San Francisco,25.6,37.0
Business,Morrisville,Cary,8.1,17.0
Business,Cary,Morrisville,3.1,4.0
Business,Morrisville,Cary,3.1,4.0
Business,Whitebridge,Preston,2.8,8.0
Business,Preston,Westpark Place,2.7,12.0
Business,Westpark Place,Whitebridge,1.9,6.0
Business,Cary,Morrisville,8.4,30.0
Business,Morrisville,Raleigh,7.6,2.0
